author;contributors;created_at;description;description2;industry;language_primary;languages;license;link;ml_detected;ml_libs;ml_tags;ml_terms;name;pushed_at;scraped_at;stars;stars_score;title;type
danshorstein;0;2017-08-20 21:18:24;"example code and source files for ficpa.org article ""Programming for Efficiency""";How to output an excel file from a PDF;Accounting;Python;['Python: 100.0%'];;https://github.com/danshorstein/ficpa_article;0.0;[];[];[];PDF Tabel to Excel;2017-08-28 14:04:28;2020-10-31 00:18:49;18;0.357;ficpa_article;Data, Parsing and APIs
danshorstein;0;;code for http://www.python4cpas.com/;Extracting useful data from PDF documents.;Accounting;HTML;['HTML: 59.8%', 'Jupyter Notebook: 40.2%'];;https://github.com/danshorstein/python4cpas/;0.3;[];['DL', 'RL'];[];PDF Parsing;2019-12-25 21:01:11;2020-10-31 00:18:47;;0.0;python4cpas;Data, Parsing and APIs
dariusmehri;0;2017-05-02 13:52:50;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;A risk model to predict unsafe facades.;Construction & Engineering;HTML;['HTML: 88.1%', 'Jupyter Notebook: 11.7%', 'R: 0.2%'];;https://github.com/dariusmehri/Algorithm-for-Finding-Buildings-with-Facade-Risk;0.5;[];['AI', 'DL', 'NER', 'RL'];['model', 'predict'];Facade Risk;2017-05-23 18:03:46;2020-10-31 00:22:31;0;0.0;Algorithm-for-Finding-Buildings-with-Facade-Risk;Construction
dariusmehri;0;2017-01-27 18:23:43;Inspection tracking using Euclidean distance algorithm and fuzzy logic text matching;Determine the assigned inspections.;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/dariusmehri/Geo-Spatial-Risk-Analysis-of-Inspectors;0.5;[];['AI', 'ML', 'NN'];['classif'];Inspectors;2017-12-06 15:51:33;2020-10-31 00:22:27;0;0.0;Geo-Spatial-Risk-Analysis-of-Inspectors;Construction
dariusmehri;0;2017-02-13 19:34:00;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Productivity analysis and inspection with Tableau.;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/dariusmehri/Inspection-Productivity-Analysis-and-Visualization-with-Tableau;0.3;[];['AI'];[];Productivity;2017-03-08 00:21:45;2020-10-31 00:22:41;1;0.099;Inspection-Productivity-Analysis-and-Visualization-with-Tableau;Construction
dariusmehri;0;2017-02-15 20:16:04;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Predicting staff levels for front line workers.;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 99.6%', 'R: 0.4%'];;https://github.com/dariusmehri/Predicting-Staff-Levels-for-Front-line-Workers;0.2;[];[];['linear regression', 'predict', 'regression'];Staff Levels;2017-03-21 15:34:21;2020-10-31 00:22:33;1;0.099;Predicting-Staff-Levels-for-Front-line-Workers;Construction
dariusmehri;0;2017-01-30 15:13:10;Market basket and social network analysis.;Predictive analysis of building violations.;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 98.2%', 'R: 1.8%'];;https://github.com/dariusmehri/Predictive-Analysis-of-Building-Violations;0.5;[];['AI', 'ANN', 'NER', 'NN', 'RL'];['AI', 'ANN', 'NER', 'NN', 'model', 'predict'];Building Violations;2017-03-16 13:08:35;2020-10-31 00:22:39;0;0.0;Predictive-Analysis-of-Building-Violations;Construction
dariusmehri;0;2018-07-19 15:23:57;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Identify high risk construction.;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/dariusmehri/Risk-Screening-Tool-to-Predict-Accidents-at-Construction-Sites;0.2;[];[];['logistic regression', 'model', 'rank', 'regression'];Risk Construction;2019-05-14 18:49:12;2020-10-31 00:22:30;0;0.0;Risk-Screening-Tool-to-Predict-Accidents-at-Construction-Sites;Construction
dariusmehri;0;2018-11-20 21:28:26;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Uncover potential corrupt social interactions between an industry member and the staff at the DOB;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/dariusmehri/Social-Network-Analysis-to-Expose-Corruption;0.5;[];['NER'];['label'];Corrupt Social Interactions;2018-11-21 14:50:24;2020-10-31 00:22:28;0;0.0;Social-Network-Analysis-to-Expose-Corruption;Construction
dariusmehri;0;2018-06-25 19:37:36;Risk model to improve construction related building safety;Risk model to improve construction related building safety;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/dariusmehri/Social-Network-Bad-Actor-Risk-Tool;0.5;[];['AI', 'GRU', 'ML', 'NER', 'NN'];['detect', 'predict', 'rank'];Bad Actor Risk Model;2019-08-27 20:30:23;2020-10-31 00:22:25;1;0.099;Social-Network-Bad-Actor-Risk-Tool;Construction
dariusmehri;0;2017-02-07 18:39:59;Topic modelling using python, R and Tableau;Building related injuries topic modelling.;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 96.8%', 'R: 3.2%'];;https://github.com/dariusmehri/Topic-Modeling-and-Analysis-of-Building-Related-Injuries;0.5;[];['AI', 'NLP'];['classif', 'fit', 'machine learning', 'model'];Injuries;2017-03-16 13:15:06;2020-10-31 00:22:37;0;0.0;Topic-Modeling-and-Analysis-of-Building-Related-Injuries;Construction
darshankaarki;0;2019-07-29 18:00:10;Convolutional neural network to automatically charge invoices to account codes, exposed as an API;Using labeled data to suggest the account name for every transaction.;Accounting;Jupyter Notebook;['Jupyter Notebook: 95.5%', 'Python: 3.9%', 'Other: 0.6%'];MIT;https://github.com/darshankaarki/ml-coa-charging;1.0;['pattern', 'tensorflow', 'vocabulary'];['AI', 'Classification', 'ML', 'NER', 'NN'];['classif', 'convolutional neural network', 'detect', 'filter', 'layer', 'machine learning', 'model', 'neural network', 'predict', 'train'];Chart of Acount Prediction;2018-11-16 12:37:15;2020-10-30 23:39:43;0;0.0;ml-coa-charging;Machine Learning
Data4Democracy;17;2017-01-27 23:19:34;Build a crash prediction modeling application that leverages multiple data sources to generate a set of dynamic predictions we can use to identify potential trouble spots and direct timely safety interventions.;Crash prediction modelling application that leverages multiple data sources;Utilities;Jupyter Notebook;['Jupyter Notebook: 86.9%', 'Python: 10.9%', 'JavaScript: 1.3%', 'HTML: 0.4%', 'CSS: 0.2%', 'Makefile: 0.1%', 'Other: 0.2%'];MIT;https://github.com/Data4Democracy/crash-model;1.0;['keras', 'pattern', 'sklearn', 'theano', 'xgboost'];['AI', 'CV', 'Classification', 'Clustering', 'DL', 'K-Means', 'KNN', 'LSTM', 'ML', 'NN', 'RL', 'RNN', 'Regression'];['DL', 'ML', 'NN', 'classif', 'layer', 'logistic regression', 'machine learning', 'model', 'predict', 'regression', 'train', 'training data'];Predict Crashes;2020-10-26 12:49:42;2020-10-31 01:07:14;100;0.5;crash-model;Transportation
datacamp;2;;Further student resources for DrivenData's 'Machine Learning with the Experts: School Budgets' DataCamp course.;Tools and techniques for school budgeting.;Education & Research;Jupyter Notebook;['Jupyter Notebook: 70.2%', 'Python: 29.8%'];MIT;https://github.com/datacamp/course-resources-ml-with-experts-budgets/;1.0;['pattern', 'sklearn'];['Classification', 'ML', 'Regression'];['label', 'machine learning', 'model', 'train'];School Budgets;2017-12-14 20:46:54;2020-10-31 00:31:46;;0.0;course-resources-ml-with-experts-budgets;School
datadesk;0;2016-10-30 21:22:03;A Los Angeles Times analysis of water usage after the state eased drought restrictions;A Los Angeles Times analysis of water usage after the state eased drought restrictions;Utilities;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/datadesk/california-ccscore-analysis;0.0;[];[];[];Drought Restrictions;2018-10-21 00:44:34;2020-10-31 01:03:49;9;0.292;california-ccscore-analysis;Water & Pollution
datadesk;0;2017-02-08 02:20:23;A Los Angeles Times analysis of California's costly power glut;A Los Angeles Times analysis of California's costly power glut.;Utilities;Jupyter Notebook;['Jupyter Notebook: 99.4%', 'Python: 0.6%'];;https://github.com/datadesk/california-electricity-capacity-analysis;0.3;[];['NER'];[];Electricity Capacity;2018-10-21 00:43:49;2020-10-31 00:59:56;17;0.352;california-electricity-capacity-analysis;Electricity
datadesk;2;2015-10-14 23:07:10;A Los Angeles Times analysis of serious assaults misclassified by LAPD;Times analysis of serious assaults misclassified by LAPD.;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/datadesk/lapd-crime-classification-analysis;1.0;['nltk', 'sklearn'];['Classification', 'GAN', 'ML'];['classif', 'machine learning', 'model', 'train'];Crime Classification;2018-10-21 00:47:32;2020-10-31 00:32:59;56;0.455;lapd-crime-classification-analysis;Crime
datakind;9;2017-07-25 17:25:41;This is a collection of the work done by DataKind volunteers on harnessing Form 990 data for improved philanthropic giving;Work done by numerous DataKind volunteers on harnessing Form 990 data;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 91.0%', 'R: 5.4%', 'TypeScript: 2.1%', 'JavaScript: 1.1%', 'Python: 0.2%', 'CSS: 0.1%', 'HTML: 0.1%'];;https://github.com/datakind/datadive-gates92y-proj3-form990;0.3;[];['AI', 'Classification', 'Clustering', 'DL', 'RL'];[];Philantropic Giving;2017-08-06 21:36:29;2020-10-31 00:52:12;3;0.188;datadive-gates92y-proj3-form990;Charities
DataScienceForGood;7;2018-03-01 19:36:37;Open data project around taxation and inequality in Basel Stadt;Data project around taxation and inequality in Basel Stadt.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 99.9%', 'Other: 0.1%'];;https://github.com/DataScienceForGood/TaxationInequality;0.2;[];[];['ML', 'recommend'];Tax Inequality;2018-12-13 19:04:40;2020-10-31 00:50:01;7;0.268;TaxationInequality;Social Policies
davidawad;2;2018-03-02 20:13:23;Lobe is the world's first AI paralegal.;Lobe is the world's first AI paralegal.;Justice, Law and Regulations;Python;['Python: 98.7%', 'Other: 1.3%'];;https://github.com/davidawad/lobe;0.5;[];['AI', 'Chatbot', 'Classification', 'NLP'];['model', 'train'];AI Para-legal;2020-03-18 23:39:57;2020-10-31 00:41:55;16;0.346;lobe;Tools
davidjwiner;0;2016-12-31 18:16:45;Predicting political affiliation based on Twitter metadata.;Political affiliation prediction using twitter metadata.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/davidjwiner/political_affiliation_prediction;0.8;['sklearn'];['CV', 'Classification', 'DL', 'KNN', 'Logistic Regression', 'ML', 'NN', 'Random Forest', 'Regression'];[];Political Affiliation;2016-12-31 18:30:14;2020-10-31 00:56:54;4;0.214;political_affiliation_prediction;Politics
davidmasse;0;2018-10-14 17:08:18;Predicting the ideological direction of Supreme Court decisions: ensemble vs. unified case-based model;Predicting the ideological direction of Supreme Court decisions: ensemble vs. unified case-based model.;Justice, Law and Regulations;Jupyter Notebook;['Jupyter Notebook: 56.9%', 'Python: 43.1%'];;https://github.com/davidmasse/US-supreme-court-prediction;1.0;['sklearn', 'xgboost'];['CV', 'Classification', 'Logistic Regression', 'ML', 'Random Forest', 'Regression'];['CV', 'KNN', 'NN', 'RL', 'classif', 'clustering', 'decision tree', 'fit', 'label', 'loss', 'machine learning', 'model', 'naive bayes', 'predict', 'random forest', 'test data', 'train'];Supreme Court Prediction;2018-10-14 17:21:20;2020-10-31 00:43:29;5;0.236;US-supreme-court-prediction;Judicial Applied
davidsontheath;0;;Bias-corrected estimators of price impact for legal event studies;Bias-Corrected Estimation of Price Impact in Securities Litigation.;Justice, Law and Regulations;Jupyter Notebook;['Jupyter Notebook: 100.0%'];MIT;https://github.com/davidsontheath/bias_corrected_estimators/;0.0;[];[];[];Securities Bias Correction;2018-01-15 05:00:00;2020-10-31 00:42:25;;0.0;bias_corrected_estimators;Policy and Regulatory
davidsteinar;0;2017-12-04 18:45:10;KTH master thesis in Machine Learning: Quantifying structural uncertainty with deep learning.;Quantifying structural uncertainty with deep learning.;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 99.6%', 'Python: 0.4%'];MIT;https://github.com/davidsteinar/structural-uncertainty;0.5;[];['Classification', 'ReLu'];['anomaly', 'deep learning', 'detect', 'label', 'machine learning'];Structural Uncertainty;2018-10-07 19:07:48;2020-10-31 00:24:08;1;0.099;structural-uncertainty;Engineering
dchannah;0;2017-09-15 19:57:22;Anomaly detection system for medical insurance claims data;Anomaly detection system for medical insurance claims data.;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 80.4%', 'HTML: 13.6%', 'CSS: 3.1%', 'Python: 2.4%', 'JavaScript: 0.5%'];;https://github.com/dchannah/fraudhacker;1.0;['sklearn'];['AI', 'ANN', 'Anomaly Detection', 'Clustering', 'DL', 'Decision Tree', 'K-Means', 'ML', 'NN', 'Regression'];['ML', 'anomaly', 'anomaly detection', 'clustering', 'detect', 'k-means', 'label', 'machine learning', 'model', 'rank'];Claims Anomalies;2017-11-07 01:19:47;2020-10-30 23:43:13;5;0.236;fraudhacker;Insurance and Risk
dchannah;0;2017-03-14 22:13:35;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Scripts for simulations and analysis of materials.;Construction & Engineering;Python;['Python: 100.0%'];;https://github.com/dchannah/materials_mining;1.0;['sklearn'];['AI', 'ANN', 'Clustering', 'Linear Regression', 'ML', 'NN', 'Random Forest', 'Regression'];['clustering', 'filter', 'fit', 'label', 'linear regression', 'machine learning', 'model', 'rank', 'regression', 'train'];Materials Mining;2017-11-21 18:09:14;2020-10-31 00:28:14;3;0.188;materials_mining;Material Science
deadskull7;0;2018-04-08 22:27:59;In Agriculture Price Monitioring , I have used data provided by open government site data.gov.in, which updates prices of market daily . Working Interface Details: We have provided user choice to see current market prices based on two choices: market wise or commodity wise use increase assesibility options. Market wise: User have to provide Stat;Agricultural price prediction.;Agriculture;Jupyter Notebook;['Jupyter Notebook: 99.0%', 'Other: 1.0%'];;https://github.com/deadskull7/Agricultural-Price-Prediction-and-Visualization-on-Android-App;1.0;['keras', 'sklearn'];['CV', 'Classification', 'ML', 'Regression'];['machine learning', 'predict', 'regression'];Prices;2018-10-02 05:37:19;2020-10-30 23:40:39;28;0.397;Agricultural-Price-Prediction-and-Visualization-on-Android-App;Economics
deepchem;94;2015-09-24 23:20:28;Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology;Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology;Biotechnological & Life Sciences;Python;['Python: 97.5%', 'Jupyter Notebook: 1.9%', 'Other: 0.6%'];MIT;https://github.com/deepchem/deepchem;1.0;['Pillow', 'gensim', 'keras', 'lightgbm', 'pattern', 'pytorch', 'sklearn', 'tensorflow', 'theano', 'vocabulary', 'xgboost'];['AI', 'Bayesian', 'CNN', 'CV', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'GAN', 'GBM', 'GRU', 'Gradient Boosting', 'Image Segmentation', 'K-Means', 'LSTM', 'Linear Regression', 'Logistic Regression', 'ML', 'NLP', 'NN', 'RL', 'RNN', 'Random Forest', 'ReLu', 'Regression', 'ResNet', 'Supervised Learning', 'Unsupervised learning', 'VGG'];['AI', 'CNN', 'ML', 'NN', 'RL', 'classif', 'deep learning', 'detect', 'epoch', 'filter', 'fit', 'generative adversarial network', 'gru', 'label', 'machine learning', 'model', 'neural network', 'predict', 'random forest', 'recommend', 'regression', 'reinforcement learning', 'train'];Deepchem;2020-11-26 08:32:45;2020-10-30 23:49:53;2553;0.692;deepchem;General
denadai2;0;2018-08-05 23:16:01;"Code to repeat the experiments of ""The economic value of neighborhoods: Predicting real estate prices from the urban environment""";Predicting real estate prices from the urban environment;Banking & Insurance;Jupyter Notebook;['Jupyter Notebook: 87.2%', 'Python: 6.8%', 'TSQL: 4.1%', 'Lua: 1.9%'];;https://github.com/denadai2/real-estate-neighborhood-prediction;1.0;['sklearn', 'xgboost'];['CV', 'GBM', 'Regression'];['model', 'predict', 'train'];Real Estate;2020-11-18 21:23:14;2020-10-30 23:42:54;30;0.403;real-estate-neighborhood-prediction;Valuation
DFS-UCU;5;2017-10-09 22:47:51;Submission for the Queen's International Innovation Challenge;Agricultural analysis looking at crop yields in Ukraine;Agriculture;Jupyter Notebook;['Jupyter Notebook: 99.8%', 'Python: 0.2%'];MIT;https://github.com/DFS-UCU/UkrainianAgriculture;1.0;['lightgbm', 'sklearn'];['CV', 'ML', 'NN', 'Regression'];['GBM', 'computer vision', 'label', 'linear regression', 'loss', 'model', 'predict', 'rank', 'regression', 'train'];Yield;2017-10-28 16:35:56;2020-10-30 23:40:45;9;0.292;UkrainianAgriculture;Economics
DimaStoyanov;0;2019-04-24 05:35:37;Applying game theory and discrete event simulation to find optimal solution for ambulance dispatching;Applying game theory and discrete event simulation to find optimal solution for ambulance dispatching;Emergency & Relief;Jupyter Notebook;['Jupyter Notebook: 90.2%', 'HTML: 7.6%', 'Python: 2.2%'];;https://github.com/DimaStoyanov/Ambulance-Dispatching;1.0;['sklearn'];['AI', 'NN', 'Regression'];['layer', 'model'];Dispatching;2019-07-14 21:08:34;2020-10-31 00:35:19;1;0.099;Ambulance-Dispatching;Ambulance:
DistrictDataLabs;2;2018-04-07 23:31:57;City Intelligence Dashboard Project;City Intelligence Dashboard Project;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 83.3%', 'HTML: 16.6%', 'Other: 0.1%'];MIT;https://github.com/DistrictDataLabs/city-dash;0.3;[];['RL'];[];City Dashboard;2018-08-13 23:16:37;2020-10-31 00:51:34;4;0.214;city-dash;Social Policies
divyam3897;2;2017-11-12 02:14:48;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Analyse irrigation and predict pest likelihood.;Agriculture;Jupyter Notebook;['Jupyter Notebook: 97.8%', 'Other: 2.2%'];;https://github.com/divyam3897/agriculture;1.0;['keras', 'pattern', 'sklearn'];['AI', 'CNN', 'Classification', 'DL', 'NN', 'RL', 'ReLu', 'Regression'];['detect', 'fit', 'model', 'neural network', 'predict'];Irrigation and Pest Prediction;2020-06-05 17:56:32;2020-10-30 23:41:33;2;0.152;agriculture;Development
DivyaMadhu;0;2018-02-23 02:12:54;This repo contains my work on predicting school budgets which is a multi-class-multi-label classification problem. It consists of 9 broad categories that each take on many possible sub-label instances.;Further classification exercise.;Education & Research;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/DivyaMadhu/School-Budget-Prediction;1.0;['pattern', 'sklearn'];['Classification', 'Decision Tree', 'Logistic Regression', 'NLP', 'Random Forest', 'Regression'];['classif', 'fit', 'label', 'model', 'predict'];Budget NLP 2;2018-02-23 03:20:42;2020-10-31 00:31:54;0;0.0;School-Budget-Prediction;School
dkirkby;2;2018-01-06 21:08:18;Machine learning and statistics for physicists;Machine learning and statistics for physicists;Physics;Jupyter Notebook;['Jupyter Notebook: 99.7%', 'Python: 0.3%'];BSD-3-Clause;https://github.com/dkirkby/MachineLearningStatistics;1.0;['keras', 'mxnet', 'pattern', 'pytorch', 'sklearn', 'statsmodels', 'tensorflow'];['AI', 'Anomaly Detection', 'Bayesian', 'CNN', 'CV', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'GAN', 'GRU', 'Image Segmentation', 'K-Means', 'KNN', 'LSTM', 'Linear Regression', 'ML', 'NLP', 'NN', 'RL', 'RNN', 'Random Forest', 'ReLu', 'Regression', 'ResNet', 'Sentiment Analysis', 'Speech Recognition', 'Supervised Learning', 'Support Vector Machines', 'U-Net', 'Unsupervised learning'];['machine learning'];Physics ML and Stats;2020-04-04 14:38:19;2020-10-31 00:47:20;50;0.446;MachineLearningStatistics;Machine Learning
DLColumbia;2;2018-05-08 19:34:17;This git repository is based on the work of J.Heaton, N.Polson and J.Witte and their articleDeep Learning for Finance: Deep Portfolios. This paper let us explore the use of deeplearning models for problems in financial prediction and classification. Our goal isto show how applying deep learning methods to these problems can produce betteroutcome;Deep learning for finance Predict volume of bonds.;Finance;Jupyter Notebook;['Jupyter Notebook: 99.8%', 'Python: 0.2%'];;https://github.com/DLColumbia/DL_forFinance;1.0;['sklearn', 'tensorflow'];['RL'];['classif', 'deep learning', 'machine learning', 'model', 'predict'];Deep Portfolio;2018-05-09 15:39:26;2020-10-31 00:36:21;26;0.39;DL_forFinance;Trading & Investment
dmodjeska;0;;Data characterization, clustering, and anomaly detection for credit card transactions by the London Borough of Barnet (simulated auditing exercise);Identification of potential fraud for council credit cards. Data;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 51.4%', 'HTML: 48.6%'];;https://github.com/dmodjeska/barnet_transactions/;1.0;['pattern', 'sklearn'];['Anomaly Detection', 'Classification', 'Clustering', 'K-Means', 'ML'];['anomaly', 'classif', 'clustering'];Public Credit Card;2017-06-17 17:31:45;2020-10-31 00:49:41;;0.0;barnet_transactions;Social Policies
DocVaughan;0;2015-01-06 00:10:33;Code supporting MCHE485: Mechanical Vibrations at the Univsersity of Louisiana at Lafayette;Mechanical Vibrations at the Univsersity of Louisiana.;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 99.6%', 'Other: 0.4%'];;https://github.com/DocVaughan/MCHE485---Mechanical-Vibrations;0.5;[];['ML'];['AI', 'fit', 'loss'];Mechanical Vibrations;2020-08-13 19:54:54;2020-10-31 00:25:05;20;0.367;MCHE485---Mechanical-Vibrations;Engineering
ds-modules;6;2018-11-16 01:26:04;A module for EEP-117: Regulation of Energy and the Environment;Regulation of Energy and the Environment;Justice, Law and Regulations;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/ds-modules/EEP-147;0.2;[];[];['model'];Environment;2020-01-08 20:53:58;2020-10-31 00:43:17;0;0.0;EEP-147;Policy and Regulatory
dssg;20;2016-10-19 19:55:46;General Purpose Risk Modeling and Prediction Toolkit for Policy and Social Good Problems;General Purpose Risk Modeling and Prediction Toolkit for Policy and Social Good Problems.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 75.9%', 'Python: 23.6%', 'Other: 0.5%'];;https://github.com/dssg/triage;1.0;['keras', 'pattern', 'sklearn'];['AI', 'Classification', 'Clustering', 'DL', 'Decision Tree', 'Gradient Boosting', 'Logistic Regression', 'ML', 'NER', 'NN', 'RL', 'Regression'];['AI', 'DL', 'ML', 'RL', 'anomaly', 'classif', 'decision tree', 'detect', 'filter', 'fit', 'label', 'layer', 'logistic regression', 'machine learning', 'model', 'predict', 'random forest', 'rank', 'recogn', 'recommend', 'regression', 'supervised learning', 'test data', 'train', 'training data', 'unlabeled'];Triage;2020-11-11 16:45:51;2020-10-31 00:48:47;115;0.51;triage;Social Policies
DTUWindEnergy;17;2013-08-28 07:45:22;This is a repository to gather the teaching material used for the course Python for Wind Energy organised at DTU Wind Energy;Python for wind energy;Construction & Engineering;Jupyter Notebook;['Jupyter Notebook: 92.0%', 'PostScript: 3.9%', 'Python: 3.7%', 'TeX: 0.4%', 'C: 0.0%', 'Makefile: 0.0%'];Apache-2.0;https://github.com/DTUWindEnergy/Python4WindEnergy;1.0;['pattern'];['AI', 'DL', 'ML', 'NN', 'Regression'];['model'];Wind Energy;2016-05-24 07:14:27;2020-10-31 00:25:30;41;0.429;Python4WindEnergy;Engineering
duncangh;0;2017-01-06 15:07:36;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;A project to transfer SEC Edgar Filings’ financial data to custom financial statement analysis models.;Finance;Jupyter Notebook;['Jupyter Notebook: 55.8%', 'Python: 44.2%'];;https://github.com/duncangh/FSA;0.5;[];['AI', 'ANN', 'CNN', 'CV', 'Classification', 'DL', 'GAN', 'GRU', 'ML', 'NER', 'NN', 'RL', 'RNN', 'VGG'];['model'];FSA;2017-01-10 22:42:02;2020-10-31 00:38:37;5;0.236;FSA;Data
ebrahimraeyat;2;2018-11-08 23:01:02;collection of civil engineering tools in FreeCAD;Collection of civil engineering tools in FreeCAD;Construction & Engineering;Python;['Python: 99.9%', 'Batchfile: 0.1%'];GPL-3.0;https://github.com/ebrahimraeyat/Civil;0.2;[];[];['classif'];Civil;2020-10-01 03:41:51;2020-10-31 00:23:16;15;0.34;Civil;Engineering
edmundooo;0;2018-09-24 22:19:56;This project was written in Python and analyzed the effects of PAC money on US politics.;Effects of PAC money on US politics.;Government and Public Works;Jupyter Notebook;['Jupyter Notebook: 98.4%', 'Python: 1.6%'];;https://github.com/edmundooo/more-money-more-problems;1.0;['gensim', 'nltk', 'sklearn'];['NLP', 'RL'];['model'];PAC Money;2020-09-18 17:16:35;2020-10-31 00:56:25;6;0.253;more-money-more-problems;Politics
ehsanasgari;0;2014-08-26 00:23:55;Millions of developers and companies build, ship, and maintain their software on GitHub  the largest and most advanced development platform in the world.;Anew representation for biological sequences using DL.;Biotechnological & Life Sciences;;[];;https://github.com/ehsanasgari/Deep-Proteomics;0.2;[];[];['deep learning', 'model', 'train'];DNA, RNA and Protein Sequencing;2020-07-23 07:26:55;2020-10-30 23:49:58;35;0.416;Deep-Proteomics;Sequencing
EliadProject;5;2018-12-22 19:14:04;Classification and clustering data of hotels reservation to produce conclusions and decsions;Cluster hotel reviews;Accommodation & Food;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/EliadProject/Hotels-Data-Science;1.0;['sklearn'];['Classification', 'Clustering', 'Decision Tree', 'K-Means', 'Naive Bayes', 'Regression'];['classif', 'clustering'];Hotel Reviews;2019-03-13 15:01:42;2020-10-30 23:39:02;2;0.152;Hotels-Data-Science;Accomodation
eloyekunle;0;;Machine learning model to analyze students' performance and predict success likelihood.;Building a student intervention system.;Education & Research;Jupyter Notebook;['Jupyter Notebook: 100.0%'];;https://github.com/eloyekunle/student_intervention/;1.0;['sklearn'];['CV', 'Classification', 'Decision Tree', 'Gradient Boosting', 'KNN', 'Logistic Regression', 'ML', 'Naive Bayes', 'Random Forest', 'Regression', 'Supervised Learning', 'Support Vector Machines'];['recommend', 'supervised learning'];Student Intervention;2016-09-19 16:04:24;2020-10-31 00:31:16;;0.0;student_intervention;Student
EricHe98;0;2017-06-23 00:05:49;Documentation and code for downloading, cleaning, munging, and analyzing financial statements filed by publicly traded companies with the SEC;Sentiment, distance and proportion analysis for trading signals.;Accounting;;[];;https://github.com/EricHe98/Financial-Statements-Text-Analysis;0.2;[];[];['ML', 'RL', 'detect', 'loss', 'sentiment analysis'];Financial Sentiment Analysis;2019-01-26 03:36:02;2020-10-30 23:40:21;44;0.435;Financial-Statements-Text-Analysis;Textual Analysis
erickjtorres;2;2018-10-30 03:48:19;Predicting GDPR Scores for Legal Documents;Predicting GDPR Scores for Legal Documents.;Justice, Law and Regulations;Jupyter Notebook;['Jupyter Notebook: 91.2%', 'Python: 8.8%'];;https://github.com/erickjtorres/AI_LegalDoc_Hackathon;1.0;['nltk', 'pattern', 'sklearn', 'spacy'];['CV', 'Classification', 'Decision Tree', 'NER', 'Random Forest'];['AI', 'classif', 'fit', 'label', 'machine learning', 'model', 'predict', 'recommend', 'train'];GDPR scores;2018-11-09 20:21:16;2020-10-31 00:42:21;1;0.099;AI_LegalDoc_Hackathon;Policy and Regulatory
ernestyalumni;0;2016-02-21 15:20:59;CompPhys - a Computational Physics repository;A computational physics repository.;Physics;Jupyter Notebook;['Jupyter Notebook: 62.1%', 'Cuda: 14.4%', 'C++: 9.6%', 'C: 7.2%', 'TeX: 6.1%', 'Python: 0.5%', 'Makefile: 0.1%'];Apache-2.0;https://github.com/ernestyalumni/CompPhys;0.5;[];['RL'];['AI', 'ANN', 'CV', 'DL', 'ML', 'NN', 'RL', 'computer vision', 'filter', 'fit', 'layer', 'loss', 'model', 'rank', 'recommend', 'regression', 'train'];Computational Physics;2020-02-06 07:47:52;2020-10-31 00:46:20;60;0.46;CompPhys;General
