Date;Days Since Featured;Medium;Technology;Theme;link;scraped_at;subtitle;title;url;Title
2020-04-01;36;Image;['U-net', 'Resnet', 'ImageNet', 'pix2pix', 'DeOldify'];Colorization;https://twitter.com/citnaj/status/1275688161369300993;2020-12-02 00:24:39;Colorize B&W picture of Detroit with a pix2pix U-Net;Jason Antic;https://mlart.co/item/colorize-bandw-picture-of-detroit-with-a-pix2pix-u-net;
2020-04-01;36;['App', 'Image'];['BASNet', 'OpenCV', 'SIFT', 'Camera'];['Culture', 'Interaction Design'];https://arcopypaste.app/;2020-12-02 00:24:46;Use BASNet to extract an object from the environment and OpenCV SIFT to add it into photoshop;Cyril Diagne;https://mlart.co/item/use-basnet-to-extract-an-object-from-the-environment-and-opencv-sift-to-add-it-into-photoshop;
2020-04-01;36;Image;Super-Resolution;['Culture', 'Emoji'];https://twitter.com/jonathanfly/status/1231168700667092992;2020-12-02 00:24:53;Upscale emojis to real faces;Jonathan Fly;https://mlart.co/item/upscale-emojis-to-real-faces;
2020-04-01;36;Open Source;Facial Detection;['Fashion', 'Covid', 'Culture'];https://github.com/BruceMacD/Adversarial-Faces;2020-12-02 00:25:14;Fooling Facial Detection with Fashion;Bruce MacDonald;https://mlart.co/item/fooling-facial-detection-with-fashion;
2020-04-01;36;Bot;['RNN', 'QuickDraw'];Culture;https://twitter.com/quasimondo/status/1253711909897068544;2020-12-02 00:25:21;AI doodles in Mr.doob's multi-user drawing tool;Mario Klingemann, Mr.doob;https://mlart.co/item/ai-doodles-in-mr_doob_s-multi-user-drawing-tool;
2020-04-01;36;['Video', 'Image'];['DeepDream', '3D'];Art;https://twitter.com/soficrespo91/status/1285525657099919361;2020-12-02 00:25:28;Add DeepDream like patterns on 3D beatles and print the new specimens;Sofia Crespo;https://mlart.co/item/add-deepdream-like-patterns-on-3d-beatles-and-print-the-new-specimens;
2020-04-01;36;Print;['Style Transfer', 'Texture synthesis'];['Art', 'Creatures'];https://twitter.com/artnome/status/1266456426588844032?s=20;2020-12-02 00:25:35;Use Style Transfer from creatures and plants, to create new creatures, printed;Sofia Crespo;https://mlart.co/item/use-style-transfer-from-creatures-and-plants_-to-create-new-creatures_-printed;
2020-04-01;36;Print;['CNN', 'Lenticular Print'];['Art', 'Creatures'];https://twitter.com/soficrespo91/status/1279738065326608385;2020-12-02 00:25:42;Lenticular print of images made with a CNN;Sofia Crespo;https://mlart.co/item/lenticular-print-of-images-made-with-a-cnn;
2020-04-01;36;Video;Style Transfer;['Music', 'Culture'];https://www.instagram.com/p/B22Vn_Co016/;2020-12-02 00:25:49;Transition between artworks by continuously applying Style Transfer;Alexander Mordvintsev;https://mlart.co/item/transition-between-artworks-by-continuously-applying-style-transfer;
2020-04-01;36;Plugin;['Inpainting', '3D', '3D Photo Inpainting'];Culture;https://twitter.com/cyrildiagne/status/1251920177782042624?s=20;2020-12-02 00:25:56;A Chrome plugin that uses 3D Photo Inpainting to turn images into 3D animations;Cyril Diagne;https://mlart.co/item/a-chrome-plugin-that-uses-3d-photo-inpainting-to-turn-images-into-3d-animations;
2020-04-01;36;Web App;Text classification;Religion;https://bible.artimproved.com/;2020-12-02 00:26:04;Censor inappropriate Bible sections;Bastien Girschig;https://mlart.co/item/censor-inappropriate-bible-sections;
2020-04-01;36;Web app;Magenta;Music;https://experiments.withgoogle.com/assisted-melody;2020-12-02 00:26:25;Insert a few notes and the model improvises in the style of Bach;Simon Doury, Google Arts & Culture Lab;https://mlart.co/item/insert-a-few-notes-and-the-model-improvises-in-the-style-of-bach;
2020-04-01;36;Web App;['NNS', 'Edge Detection', 'CNN'];Culture;https://experiments.withgoogle.com/draw-to-art-shape;2020-12-02 00:26:32;"Match a user-generated shape with paintings; the CNN features of the shapes are matched with a database of features of outlined artworks";Bastien Girschig, Romain Cazier, Google Arts & Culture Lab;https://mlart.co/item/match-a-user-generated-shape-with-paintings_-the-cnn-features-of-the-shapes-are-matched-with-a-database-of-features-of-outlined-artworks;
2020-04-01;36;Web App;UMAP;['Books', 'Culture', 'Maps'];https://experiments.withgoogle.com/ocean-of-books;2020-12-02 00:26:38;Cluster books with UMAP and create imaginary islands to visualize them;Gael Hugo, Google Arts & Culture Lab;https://mlart.co/item/cluster-books-with-umap-and-create-imaginary-islands-to-visualize-them;
2020-04-01;36;Web App;['CNN', 'Object Detection'];Ukiyo-e;https://experiments.withgoogle.com/beyondscrolls;2020-12-02 00:26:46;Use Object Detection to explore details in artworks;Christine Sugrue, Google Arts & Culture Lab;https://mlart.co/item/use-object-detection-to-explore-details-in-artworks;
2020-04-01;36;['Sculpture', 'Video'];['GAN', 'Point Cloud'];Art;https://vimeo.com/428165246;2020-12-02 00:26:53;GAN generated 3D sculpture and made in marble;Christian Mio Loclair, Waltz Binaire;https://mlart.co/item/gan-generated-3d-sculpture-and-made-in-marble;
2020-04-01;36;Plugin;ANN;Design;https://vimeo.com/385239653;2020-12-02 00:26:59;Adjust user interface animations according to an ANN trained on user interactions;Christian Mio Loclair, Waltz Binaire;https://mlart.co/item/adjust-user-interface-animations-according-to-an-ann-trained-on-user-interactions;
2020-03-01;36;Video;First Order Motion;['Humour', 'Culture', 'Tiktok'];https://twitter.com/AydaoGMan/status/1234531519349350402;2020-12-02 00:27:06;Apply First Order Motion to Elissa Kathryn's TikTok video and create a collage of famous motives;Aydao, Elissa Kathryn;https://mlart.co/item/apply-first-order-motion-to-elissa-kathryn_s-tiktok-video-and-create-a-collage-of-famous-motives;
2020-03-01;36;Video;First Order Motion;['Architecture', 'Humor'];https://twitter.com/erocdrahs/status/1239623192718848000;2020-12-02 00:27:13;Apply First Order Motion to objects with faces;Shardcore;https://mlart.co/item/apply-first-order-motion-to-objects-with-faces;
2020-03-01;36;GIF;['SinGAN', 'GAN'];Art;https://twitter.com/jonathanfly/status/1237265173481750528;2020-12-02 00:27:34;Use SinGAN to train a GAN with a single image, Frymire, the classic compression image;Jonathan Fly;https://mlart.co/item/use-singan-to-train-a-gan-with-a-single-image_-frymire_-the-classic-compression-image;
2020-02-01;36;['Education', 'Tutorial'];Neural Cellular Automata;Culture;https://distill.pub/2020/growing-ca/;2020-12-02 00:27:41;Repair images using Neural Cellular Automata, a 16-channel recurrent CNN with a fixed Sobel kernel, a dense layer, and masking;Alexander Mordvintsev;https://mlart.co/item/repair-images-using-neural-cellular-automata_-a-16-channel-recurrent-cnn-with-a-fixed-sobel-kernel_-a-dense-layer_-and-masking;
2020-05-01;36;Video;['StyleGAN', 'GAN', 'Aeriolod'];Architecture;https://twitter.com/erikswahn/status/1230607382453116943;2020-12-02 00:27:49;GAN trained on Defra's Lidar data of London, then visualize the height maps in Aeriolod;Erik Swahn;https://mlart.co/item/gan-trained-on-defra_s-lidar-data-of-london_-then-visualize-the-height-maps-in-aeriolod;
2020-02-01;36;Video;['CMT', 'StyleTransfer', 'Optical Flow', 'deepflow'];['Art', 'Nature'];https://twitter.com/luluixixix/status/1229424170662072322;2020-12-02 00:27:56;Clustering of Static-Adaptive Correspondences for Deformable Object Tracking (CMT), with Optical Flow enhanced Style Transfer, and a loop generating algorithm based on Optical Flow;Lulu xXX;https://mlart.co/item/clustering-of-static-adaptive-correspondences-for-deformable-object-tracking-_cmt_-with-optical-flow-enhanced-style-transfer_-and-a-loop-generating-algorithm-based-on-optical-flow;
2020-02-01;36;Video;['Detectron2', 'Optical Flow', 'StyleTransfer', 'deepflow'];['Art', 'Nature'];https://twitter.com/luluixixix/status/1233406451835641856;2020-12-02 00:28:02;Use Detectron2 to identify people in STORROR's parkour video and apply Optical Flow based Style Transfer;Lulu xXX, STORROR;https://mlart.co/item/use-detectron2-to-identify-people-in-storror_s-parkour-video-and-apply-optical-flow-based-style-transfer;
2020-02-01;36;Video;['Ken Burns 3D', 'GAN', 'Inpainting'];Art;https://twitter.com/jonathanfly/status/1230311351534440449;2020-12-02 00:28:09;Apply Ken Burns 3D until it breaks, exposing the simulation software the model was created with;Jonathan Fly;https://mlart.co/item/apply-ken-burns-3d-until-it-breaks_-exposing-the-simulation-software-the-model-was-created-with;
2020-02-01;36;Installation;['GAN', 'Houdini', 'ESR-GAN', 'StyleGAN'];Architecture;https://refikanadol.com/works/machine-hallucination/;2020-12-02 00:28:16;"A StyleGAN trained on 100 million pictures of New York; the GAN-generated images are then animated with Point Advection in Houdini";Refik Anadol;https://mlart.co/item/a-stylegan-trained-on-100-million-pictures-of-new-york_-the-gan-generated-images-are-then-animated-with-point-advection-in-houdini;
2020-02-01;36;Video;cuml-UMAP;Culture;https://twitter.com/refikanadol/status/1278934492497903617;2020-12-02 00:28:23;Extract CNN features from images and organize images with cuml-UMAP, create a device to explore the space with hand motions;Refik Anadol;https://mlart.co/item/extract-cnn-features-from-images-and-organize-images-with-cuml-umap_-create-a-device-to-explore-the-space-with-hand-motions;
2020-01-01;36;['Clothing', 'Product'];GAN;Fashion;https://www.itsnicethat.com/features/ones-to-watch-2020-robbie-barrat-digital-240220;2020-12-02 00:28:44;Train a GAN on Acne clothing, generate images with the GAN, and create physical products according to the GAN images;Robbie Barrat, Acne;https://mlart.co/item/train-a-gan-on-acne-clothing_-generate-images-with-the-gan_-and-create-physical-products-according-to-the-gan-images;
2020-01-01;36;Image;['StyleGAN', 'GAN', 'StyleTransfer'];['Art', 'Culture'];https://twitter.com/Norod78/status/1219918037765312512;2020-12-02 00:28:51;Overfit StyleGAN on 250 nonsensical images and then apply StyleTransfer;Doron Adler;https://mlart.co/item/overfit-stylegan-on-250-nonsensical-images-and-then-apply-styletransfer;
2020-01-01;36;Video;GAN;['Music', 'Art'];https://vimeo.com/neuralsynesthesia;2020-12-02 00:28:59;Visualizing sound by interpolating a GAN trained on paintings;Xander Steenbrugge;https://mlart.co/item/visualizing-sound-by-interpolating-a-gan-trained-on-paintings;
2020-01-01;36;Video;['GAN', 'CPPN', 'CMA-ES', 'Game of Life', 'Perlin Noise'];Evolution;https://joelsimon.net/forms-of-life.html;2020-12-02 00:29:07;Generate an area to simulate Game of Life using CMA-ES, GAN, and CPPN, optimized to maximize their total life;Joel Simon;https://mlart.co/item/generate-an-area-to-simulate-game-of-life-using-cma-es_-gan_-and-cppn_-optimized-to-maximize-their-total-life;
2020-01-01;36;Web App;['Magenta', 'VAE', 'RNN'];Music;https://magenta.tensorflow.org/lofi-player;2020-12-02 00:29:15;An interactive room where you can create music with Magenta's javascript version of MusicVAE and MelodyRNN;Vibert Thio, Douglas Eck;https://mlart.co/item/an-interactive-room-where-you-can-create-music-with-magenta_s-javascript-version-of-musicvae-and-melodyrnn;
2020-01-01;36;Song;['VQ-VAE', 'Sparse Transformer'];Music;https://openai.com/blog/jukebox/;2020-12-02 00:29:22;Generate music with a combination of VQ-VAE and Sparse Transformers trained on 1.2 million songs;Prafulla Dhariwal, Heewoo Jun, Christine Payne, Jong Wook Kim, Alec Radford, Ilya Sutskever;https://mlart.co/item/generate-music-with-a-combination-of-vq-vae-and-sparse-transformers-trained-on-1_2-million-songs;
2020-06-01;30;Video;['First Order Motion', 'StyleGAN'];Language;http://www.shardcore.org/shardpress2019/2020/06/13/when-klopstock-england-defied-william-blake/;2020-12-02 00:29:29;Generate a face with StyleGAN FFHQ, and use First Order Motion to animate a reading of William Blake's When Klopstock England Defied;Shardcore;https://mlart.co/item/generate-a-face-with-stylegan-ffhq_-and-use-first-order-motion-to-animate-a-reading-of-william-blake_s-when-klopstock-england-defied;
2020-09-01;30;Video;Wav2Lip;['Music', 'Cultur', 'Politics', 'Corona'];http://www.shardcore.org/shardpress2019/2020/09/25/quarantine-age-kicks/;2020-12-02 00:29:37;Create a music video for The Private Sector's Quarantine Age Kicks using prominent people in the media and applying Wav2Lip;Shardcore;https://mlart.co/item/create-a-music-video-for-the-private-sector_s-quarantine-age-kicks-using-prominent-people-in-the-media-and-applying-wav2lip;
2019-09-01;36;['Image', 'Painting'];GAN;['Art', 'Contemporary'];https://www.artnome.com/news/2019/1/22/ai-artist-robbie-barrat-and-painter-ronan-barrot-collaborate-on-infinite-skulls;2020-12-02 00:29:58;Paint skulls, train a GAN on them, print the GAN images, and paint over the GAN prints;Robbie Barrat, Ronan Barrot;https://mlart.co/item/paint-skulls_-train-a-gan-on-them_-print-the-gan-images_-and-paint-over-the-gan-prints;
2019-09-01;36;Song;['Magenta', 'VAE', 'NSynth Super'];Music;https://magenta.tensorflow.org/chain-tripping;2020-12-02 00:30:05;An album with songs generated with Magenta’s MusicVAE model and lyrics made by an LSTM trained by Ross Goodwin;YACHT, Ross Goodwin, Tom White, Mario Klingemann;https://mlart.co/item/an-album-with-songs-generated-with-magenta_s-musicvae-model-and-lyrics-made-by-an-lstm-trained-by-ross-goodwin;
2019-09-01;36;Video;['GauGAN', 'GAN', 'BigGAN', 'ImageJ'];Art;https://www.youtube.com/watch?v=9STz6l3IDIQ&ab_channel=Wintergatan;2020-12-02 00:30:12;A BigGAN latent video about a butterfly augmented with ImageJ and GauGAN;Jonathan Fly;https://mlart.co/item/a-biggan-latent-video-about-a-butterfly-augmented-with-imagej-and-gaugan;
2019-08-01;36;Video;['GauGAN', 'GAN'];Movies;https://www.youtube.com/watch?v=_7zBO6GenkM&ab_channel=JonathanFly;2020-12-02 00:30:19;Apply GauGAN on Charlie Chaplin dressed as a tree;Jonathan Fly;https://mlart.co/item/apply-gaugan-on-charlie-chaplin-dressed-as-a-tree;
2019-07-01;36;Image;GAN;['Art', 'Nature'];https://twitter.com/danijoy_art/status/1166035157691719680;2020-12-02 00:30:26;An overpainted GAN interpolation of a smoking monkey;Dani Joy;https://mlart.co/item/an-overpainted-gan-interpolation-of-a-smoking-monkey;
2019-06-01;36;Image;['GAN', 'Discriminator', 'Inpainting'];['Art', 'Renaissance'];https://robbiebarrat.github.io/corrections.html;2020-12-02 00:30:33;Apply patches from artworks to a painting and guide it with a GAN discriminator;Robbie Barrat;https://mlart.co/item/apply-patches-from-artworks-to-a-painting-and-guide-it-with-a-gan-discriminator;
2019-06-01;36;Video;['GauGAN', 'GAN'];Games;https://twitter.com/jonathanfly/status/1144735290591981568;2020-12-02 00:30:41;Upscaling old video games with GauGAN;Jonathan Fly;https://mlart.co/item/upscaling-old-video-games-with-gaugan;
2019-05-01;36;Video;['StyleGAN', 'GAN'];Architecture;https://twitter.com/erikswahn/status/1129472697514242048;2020-12-02 00:30:48;StyleGAN trained on floor plans and stacked on top of each other;Erik Swahn;https://mlart.co/item/stylegan-trained-on-floor-plans-and-stacked-on-top-of-each-other;
2019-05-01;36;Image;Style Transfer;Nature;https://artificial-images.com/project/baffler-magazine-illustration;2020-12-02 00:31:32;Style Transfer applied to a collage of eyes;Derrick Schultz;https://mlart.co/item/style-transfer-applied-to-a-collage-of-eyes;
2019-03-01;36;Image;CNN;['Art', 'Nature'];https://www.instagram.com/p/BvL7hoel83A/;2020-12-02 00:31:39;CNN generated blend of corals;Sofia Crespo;https://mlart.co/item/cnn-generated-blend-of-corals;
2019-02-01;36;Image;GAN;Nature;https://twitter.com/glagolista/status/1091140863072391168;2020-12-02 00:31:46;GAN trained on personal pictures of flowers;Helena Sarin;https://mlart.co/item/gan-trained-on-personal-pictures-of-flowers;
2019-02-01;36;Installation;CNN;['Art', 'Nature'];http://alpharats.com/project/artificial-remnants;2020-12-02 00:31:53;CNN generated blend of species and 3D printed;Sofia Crespo;https://mlart.co/item/cnn-generated-blend-of-species-and-3d-printed;
2019-12-01;36;Video;['GAN', 'B3D'];['Abstract', 'Art', 'Meditation'];https://vimeo.com/neuralsynesthesia;2020-12-02 00:32:02;GAN generated textures and post processing in B3D with meditative music;Xander Steenbrugge;https://mlart.co/item/gan-generated-textures-and-post-processing-in-b3d-with-meditative-music;
2019-12-01;36;Video;['StyleTransfer', 'Optical Flow', 'deepflow'];['Art', 'Music'];https://twitter.com/luluixixix/status/1202698802395828232;2020-12-02 00:32:09;DJ video with video texture advection with flipfluids and Optical Flow based Style Transfer;Lulu xXX;https://mlart.co/item/dj-video-with-video-texture-advection-with-flipfluids-and-optical-flow-based-style-transfer;
2019-11-01;36;Video;['GauGAN', 'GAN'];['Nature', 'Art'];https://twitter.com/fabinrasheed/status/1308730027182182401;2020-12-02 00:32:16;Translate a painting to a real-world photograph with GauGAN;Fabin Rasheed;https://mlart.co/item/translate-a-painting-to-a-real-world-photograph-with-gaugan;
2019-11-01;36;Video;['Photogrammetry', 'Optical Flow', 'StyleTransfer', 'deepflow'];['Art', 'Nature'];https://twitter.com/luluixixix/status/1191414379989876737;2020-12-02 00:32:23;Use photogrammetry to extract vector points from images, and apply a Optical Flow based StyleTransfer with Noj Barke's dot paintings;Lulu xXX, Noj Barke;https://mlart.co/item/use-photogrammetry-to-extract-vector-points-from-images_-and-apply-a-optical-flow-based-styletransfer-with-noj-barke_s-dot-paintings;
2019-10-01;36;Video;Pix2pix;['Culture', 'Art'];https://twitter.com/jonathanfly/status/1185843103271444480;2020-12-02 00:32:44;Start with a video clip of a rollercoaster and then predict the next frame with a pix2pix model, feeding the previous frame;Jonathan Fly;https://mlart.co/item/start-with-a-video-clip-of-a-rollercoaster-and-then-predict-the-next-frame-with-a-pix2pix-model_-feeding-the-previous-frame;
2019-01-01;36;['Image', 'Woodblock Print'];GAN;['Art', 'Ukiyo-e'];https://obvious-art.com/collection-electric-dreams-of-ukiyo/;2020-12-02 00:32:51;GAN generated Japanese wood prints, and then print them using the same technique;Obvious;https://mlart.co/item/gan-generated-japanese-wood-prints_-and-then-print-them-using-the-same-technique;
2019-01-01;36;Game;['Transformer', 'GPT'];Culture;https://play.aidungeon.io/;2020-12-02 00:32:59;Use GPT-3 to create a text adventure;AI Dungeon;https://mlart.co/item/use-gpt-3-to-create-a-text-adventure;
2019-01-02;36;Video;DeepFake;Culture;https://www.youtube.com/watch?v=3vHvOyZ0GbY;2020-12-02 00:33:06;Tom Cruise Deep Fake;Corridor Crew;https://mlart.co/item/tom-cruise-deep-fake;
2019-01-03;36;Installation;['Camera', 'Face Alignment', 'pix2pix'];['Art', 'Contemporary'];https://www.sothebys.com/en/articles/artificial-intelligence-and-the-art-of-mario-klingemann;2020-12-02 00:33:13;Extract face markers with a camera and use a pix2pix model to translate the face markers to paintings;Mario Klingemann;https://mlart.co/item/extract-face-markers-with-a-camera-and-use-a-pix2pix-model-to-translate-the-face-markers-to-paintings;
2019-01-04;36;['Video', 'Image'];GAN;Architecture;https://towardsdatascience.com/ai-architecture-f9d78c6958e0;2020-12-02 00:33:20;Using a GAN to generate architecture plans;Stanislas Chaillou;https://mlart.co/item/using-a-gan-to-generate-architecture-plans;
2019-01-05;36;['Video', 'Image'];['pix2pix', 'GAN'];['Art', 'Contemporary'];https://www.youtube.com/watch?v=TN7Ydx9ygPo;2020-12-02 00:33:28;Custom pix2pix HD turning sketches into sculptures;Scott Eaton;https://mlart.co/item/custom-pix2pix-hd-turning-sketches-into-sculptures;
2019-01-06;36;['Video', 'Image'];['pix2pix', 'GAN'];['Art', 'Contemporary'];http://www.aiartonline.com/highlights/scott-eaton/;2020-12-02 00:33:36;Custom pix2pix HD turning sketches into bodies;Scott Eaton;https://mlart.co/item/custom-pix2pix-hd-turning-sketches-into-bodies;
2019-01-07;36;['Video', 'Image'];GAN;['Art', 'Abstract'];http://www.aiartonline.com/highlights/terence-broad/;2020-12-02 00:33:54;Generate GAN images without a training dataset;Terence Broad;https://mlart.co/item/generate-gan-images-without-a-training-dataset;
2019-01-08;36;Video;GAN;Art;https://twitter.com/obake_ai/status/1149165742241095680?s=20;2020-12-02 00:34:02;GAN trained on pictures of hands;Kishi Yuma;https://mlart.co/item/gan-trained-on-pictures-of-hands;
2019-01-09;36;Image;Style Transfer;['Art', 'Nature'];https://twitter.com/zzznah/status/1135311407120101378;2020-12-02 00:34:09;Style Transfer based on Ernst Haeckel's art and a picture of Darwin;Alexander Mordvintsev;https://mlart.co/item/style-transfer-based-on-ernst-haeckel_s-art-and-a-picture-of-darwin;
2019-01-10;36;Video;Style Transfer;['Texture', 'Art'];https://twitter.com/zzznah/status/1116634357257658368?s=20;2020-12-02 00:34:16;Use Style Transfer where the content comes from a face and the style from a video of clouds;Alexander Mordvintsev;https://mlart.co/item/use-style-transfer-where-the-content-comes-from-a-face-and-the-style-from-a-video-of-clouds;
2019-01-11;36;Web App;['CNN', 'Classification', 'Camera'];Shadow Art;https://experiments.withgoogle.com/shadow-art;2020-12-02 00:34:23;Learn shadow art by having a CNN classify and correct your hand patterns;Google ZOO, bit.studio;https://mlart.co/item/learn-shadow-art-by-having-a-cnn-classify-and-correct-your-hand-patterns;
2019-01-12;36;['Game', 'Web App'];['CNN', 'Camera'];['Culture', 'Interaction Design'];https://experiments.withgoogle.com/teachable-snake;2020-12-02 00:34:31;Classic snake game controlled by a webcam that classifies images of arrows;Vince MingPu Shao;https://mlart.co/item/classic-snake-game-controlled-by-a-webcam-that-classifies-images-of-arrows;
2019-01-13;36;Web App;['CNN', 'NNS'];Nature;https://experiments.withgoogle.com/patternradio;2020-12-02 00:34:38;Visualize and detect whales and deep-sea animals from ocean sounds;NOAA, Google Creative Lab;https://mlart.co/item/visualize-and-detect-whales-and-deep-sea-animals-from-ocean-sounds;
2019-01-14;36;['Web App', 'Video'];['PoseNet', 'Camera', 'Voice detection', 'Microphone'];Dance;https://experiments.withgoogle.com/billtjonesai;2020-12-02 00:34:45;Detect poses and voice and add the spoken words live in the choreography;Bill T. Jones, Google Creative Lab;https://mlart.co/item/detect-poses-and-voice-and-add-the-spoken-words-live-in-the-choreography;
2019-01-15;36;Device;['CNN', 'Classification', 'Hardware'];Culture;https://experiments.withgoogle.com/neuralcandy;2020-12-02 00:35:05;Candy dispenser based a showing images to a CNN;Al Bencomo;https://mlart.co/item/candy-dispenser-based-a-showing-images-to-a-cnn;
2019-01-16;36;Web App;['Microphone', 'Classification'];Education;https://experiments.withgoogle.com/interplay-mode;2020-12-02 00:35:13;Add machine learning modules for educational videos;Google Creative Lab;https://mlart.co/item/add-machine-learning-modules-for-educational-videos;
2019-01-17;36;Web App;['CNN', 'RNN', 'Classification', 'Magenta'];Music;https://experiments.withgoogle.com/freddiemeter;2020-12-02 00:35:20;Analyse voice files to match the similarity to Freddie Mercury;Google Research, Google Creative Lab, YouTube Music;https://mlart.co/item/analyse-voice-files-to-match-the-similarity-to-freddie-mercury;
2019-01-18;36;Device;['AutoML', 'CNN', 'Hardware'];Culture;https://experiments.withgoogle.com/teachable-machine;2020-12-02 00:35:28;Device to collect a few categories of data at home and automatically train a model to classify them;Google Creative Lab;https://mlart.co/item/device-to-collect-a-few-categories-of-data-at-home-and-automatically-train-a-model-to-classify-them;
2019-01-19;36;Device;['AutoML', 'CNN', 'Hardware'];Culture;https://experiments.withgoogle.com/tiny-sorter;2020-12-02 00:35:35;Collect dataset and use AutoML to classify the images;Google Creative Lab;https://mlart.co/item/collect-dataset-and-use-automl-to-classify-the-images;
2019-01-20;36;Print;ImageNet;['Culture', 'Technology'];http://salavon.com/work/little-infinity/;2020-12-02 00:35:42;Visualize the entire ImageNet dataset in vertical rows;Jason Salavon;https://mlart.co/item/visualize-the-entire-imagenet-dataset-in-vertical-rows;
2019-01-21;36;Installation;['GAN', 'Camera'];Art;http://salavon.com/work/faceoff-v-inman/grid/67/;2020-12-02 00:35:57;GAN interpolation based on a camera feed;Jason Salavon;https://mlart.co/item/gan-interpolation-based-on-a-camera-feed;
2019-01-22;36;Web App;['Background Removal', 'UMAP'];Fashion;https://experiments.withgoogle.com/business-of-fashion;2020-12-02 00:36:04;Use UMAP to cluster the color of outfits in several thousand catwalks;Cyril Diagne, Google Arts & Culture Lab;https://mlart.co/item/use-umap-to-cluster-the-color-of-outfits-in-several-thousand-catwalks;
2019-01-23;36;Web App;['UMAP', 'PoseNet'];Dance;https://experiments.withgoogle.com/living-archive-wayne-mcgregor;2020-12-02 00:36:26;Use PoseNet to extract a pose and generate stick figure choreographies;Bastien Girschig, Google Arts & Culture Lab;https://mlart.co/item/use-posenet-to-extract-a-pose-and-generate-stick-figure-choreographies;
2019-01-24;36;['Web App', 'Installation'];['RNN', 'Camera'];['Language', 'Poetry'];https://experiments.withgoogle.com/poemportraits;2020-12-02 00:36:33;Generate a poem from a word and project it on your face;Es Devlin, Ross Goodwin, IYOIYO, Google Arts & Culture Lab;https://mlart.co/item/generate-a-poem-from-a-word-and-project-it-on-your-face;
2019-01-25;36;Opera;['pix2pix', 'RNN', 'LSTM', 'Markov Chain', 'OpenPose', 'Detectron'];Opera;http://www.aiartonline.com/art/lingdong-huang-zheng-jiang-giada-sun-tong-bai-eunsu-kang-barnabas-poczos/;2020-12-02 00:36:40;Generate a vintage Chinese opera by extracting poses and augmenting them with a pix2pix model;Lingdong Huang, Zheng Jiang, Giada Sun, Tong Bai, Eunsu Kang, Barnabas Poczos;https://mlart.co/item/generate-a-vintage-chinese-opera-by-extracting-poses-and-augmenting-them-with-a-pix2pix-model;
2019-01-26;36;Video;Style Transfer;Art;http://www.aiartonline.com/highlights/jana-sam-and-alex-mordvintsev/;2020-12-02 00:36:48;Zooming inside of an artwork and applying Style Transfer to transfer to another artwork;Jana Sam, Alexander Mordvintsev;https://mlart.co/item/zooming-inside-of-an-artwork-and-applying-style-transfer-to-transfer-to-another-artwork;
2019-01-27;36;['Video', 'Collage'];GAN;Art;http://www.aiartonline.com/highlights/mario-klingemann-3/;2020-12-02 00:36:56;GAN collage interpolation of three dogs;Mario Klingemann;https://mlart.co/item/gan-collage-interpolation-of-three-dogs;
2019-01-28;36;Song;RNN;Music;http://www.aiartonline.com/music-2019/amber-frid-jimenez/;2020-12-02 00:37:03;RNN generative piano music inspired by Satie;Amber Frid-Jimenez;https://mlart.co/item/rnn-generative-piano-music-inspired-by-satie;
2019-01-29;36;Song;['RNN', 'LSTM'];Music;http://www.aiartonline.com/music-2019/andrew-pfalz-2/;2020-12-02 00:37:10;RNN generated classical music;Andrew Pfalz;https://mlart.co/item/rnn-generated-classical-music;
2019-01-30;36;Installation;['WaveGAN', 'Hardware', 'GAN'];Art;http://www.aiartonline.com/community-2019/eunsu-kang-donald-craig-austin-dill-songwei-ge-barnabas-poczos/;2020-12-02 00:37:17;Use WaveGAN to generate sound based on touch;Eunsu Kang, Donald Craig, Austin Dill, Songwei Ge, Barnabas Poczos;https://mlart.co/item/use-wavegan-to-generate-sound-based-on-touch;
2019-01-01;36;Image;['GAN', 'CycleGAN', 'SNGAN'];Religion;https://computervisionart.com/pieces2019/inferno/;2020-12-02 00:37:38;SNGAN trained on doodles and upscaled and colorized with CycleGAN;Helena Sarin;https://mlart.co/item/sngan-trained-on-doodles-and-upscaled-and-colorized-with-cyclegan;
2019-01-01;36;Video;['Pix2pix', 'GAN'];['Nature', 'Art'];https://shi-weili.com/terra-mars;2020-12-02 00:37:45;A Conditional GAN trained on topographical data and satellite imagery of Earth to terraform Mars topographic data;Shi Weili;https://mlart.co/item/a-conditional-gan-trained-on-topographical-data-and-satellite-imagery-of-earth-to-terraform-mars-topographic-data;
2019-01-01;36;Installation;['RNN', 'LSTM'];['Art', 'Abstract'];https://sougwen.com/project/artefact1;2020-12-02 00:37:52;Train an RNN on drawing motions and create a painting in collaboration where the model has one color and Sougwen Chung has another;Sougwen Chung;https://mlart.co/item/train-an-rnn-on-drawing-motions-and-create-a-painting-in-collaboration-where-the-model-has-one-color-and-sougwen-chung-has-another;
